station,lon,lat
102345,-99.35318671,19.26025715
102346,-99.30550734,19.25942441
102347,-99.25782856,19.2585768
102348,-99.21015038,19.25771433
102349,-99.1624728,19.25683699
102350,-99.11479584,19.25594479
102351,-99.06711952,19.25503772
102352,-99.01944382,19.25411578
102353,-98.97176878,19.25317898
102354,-98.9240944,19.25222732
102355,-98.87642069,19.25126079
102356,-98.82874766,19.2502794
102357,-98.78107532,19.24928314
102358,-98.73340368,19.24827202
102359,-98.68573275,19.24724604
102360,-98.63806255,19.2462052
102361,-98.59039307,19.24514949
102362,-98.54272434,19.24407892
102363,-98.49505636,19.24299349
102364,-98.44738915,19.24189319
102365,-98.39972271,19.24077804
102366,-98.35205705,19.23964802
102367,-98.30439219,19.23850314
103319,-100.5925577,19.32173472
103320,-100.544851,19.32128845
103321,-100.4971445,19.3208273
103322,-100.4494385,19.32035127
103323,-100.4017327,19.31986037
103324,-100.3540273,19.3193546
103325,-100.3063223,19.31883395
103326,-100.2586176,19.31829843
103327,-100.2109133,19.31774804
103328,-100.1632094,19.31718277
103329,-100.1155059,19.31660263
103330,-100.0678028,19.31600761
103331,-100.0201001,19.31539772
103332,-99.97239788,19.31477296
103333,-99.92469608,19.31413333
103334,-99.87699474,19.31347882
103335,-99.82929386,19.31280944
103336,-99.78159345,19.31212519
103337,-99.73389352,19.31142606
103338,-99.68619409,19.31071207
103339,-99.63849517,19.3099832
103340,-99.59079675,19.30923946
103341,-99.54309887,19.30848085
